rank,partikelverb,basverb,partikel,betydelse_en,cefr,band,betonad_or_klass,flag
1,se ut,se,ut,"to look, to appear (a certain way)",A1,1,ja,
2,komma hem,komma,hem,to come home,A1,1,ja,
3,gå ut,gå,ut,to go out; to expire,A1,1,ja,
4,komma ihåg,komma,ihåg,to remember,A1,1,ja,
5,komma in,komma,in,to come in; to be admitted,A1,1,ja,
6,ta upp,ta,upp,to pick up; to raise (a topic),A2,1,ja,
7,växa upp,växa,upp,to grow up,A1,1,ja,
8,ge ut,ge,ut,to publish; to issue,B1,1,ja,
9,komma tillbaka,komma,tillbaka,to come back,A1,1,ja,
10,komma fram,komma,fram,to arrive; to emerge,A1,1,ja,
11,vara med,vara,med,to take part; to be present,A1,1,ja ⚠,
12,gå in,gå,in,"to go in, to enter",A1,1,ja,
13,komma ut,komma,ut,to come out; to be published,A2,2,ja,
14,tycka om,tycka,om,"to like, to be fond of",A2,2,ja ⚠,
15,tala om,tala,om,to tell (someone something),A1,2,ja ⚠,
16,dela ut,dela,ut,"to hand out, to distribute",A1,2,ja,
17,känna igen,känna,igen,to recognise,A2,2,ja,
18,ta ut,ta,ut,to take out; to withdraw (money),A1,2,ja,
19,veta om,veta,om,"to be aware of, to know about",A2,2,ja ⚠,
20,tänka om,tänka,om,"to reconsider, to change one's mind",A2,2,ja,
21,gå upp,gå,upp,to rise; to increase; to come open,A1,2,ja,
22,göra om,göra,om,"to redo, to do again",A2,2,ja,
23,dyka upp,dyka,upp,"to turn up, to show up",B1,2,ja,
24,stiga upp,stiga,upp,"to get up, to get out of bed",A1,2,ja,
25,ta fram,ta,fram,to get something out and ready,A2,2,ja,
26,ta emot,ta,emot,"to receive, to accept",A2,2,ja,
27,ta slut,ta,slut,"to run out, to come to an end",B1,2,ja,
28,gå ner,gå,ner,to go down; to decrease,A1,2,ja,
29,ge upp,ge,upp,"to give up, to surrender",A2,2,ja,
30,hjälpa till,hjälpa,till,"to help out, to lend a hand",A2,2,ja,
31,gå hem,gå,hem,to go home; to go down well (idiom),A1,2,ja,
32,sätta upp,sätta,upp,to put up; to stage (a play),A1,2,ja,
33,komma igen,komma,igen,to come back; to recur,A2,2,ja,
34,låna ut,låna,ut,to lend out,A2,2,ja,
35,gå över,gå,över,"to pass, to subside; to cross",A2,2,ja ⚠,
36,ta in,ta,in,to take in; to admit; to check in,B1,2,ja,
37,ta med,ta,med,to bring along,A1,2,ja,
38,spela in,spela,in,to record,B1,2,ja,
39,slå ut,slå,ut,to knock out; to eliminate; to bloom,A2,2,ja,
40,lägga ner,lägga,ner,to shut down; to put down; to abandon,B1,2,ja,
41,ställa upp,ställa,upp,to take part; to help out; to line up,A2,2,ja,
42,se om,se,om,to look after; to watch again,A2,2,ja ⚠,
43,ha kvar,ha,kvar,to still have,A2,2,ja,
44,koppla av,koppla,av,to relax; to disconnect,A2,2,ja,
45,slå upp,slå,upp,to look up (in a book); to open,A2,2,ja,
46,lämna tillbaka,lämna,tillbaka,"to give back, to return",A2,2,ja,
47,tänka efter,tänka,efter,"to think carefully, to reflect",B1,2,ja,
48,sätta in,sätta,in,to insert; to deposit (money),A2,2,ja,
49,känna till,känna,till,"to know about, to be familiar with",B1,2,ja,
50,ta hem,ta,hem,to bring home; to win (a prize),A1,3,ja,
51,lägga in,lägga,in,to put in; to admit (to hospital),A2,3,ja,
52,sätta ut,sätta,ut,to put out; to discontinue (medication),A2,3,ja,
53,hålla på,hålla,på,to be in the middle of doing,A2,3,ja ⚠,
54,bli av,bli,av,"to happen, to come off",B1,3,ja,
55,ta bort,ta,bort,"to remove, to delete",A2,3,ja,
56,sätta igång,sätta,igång,"to start, to get going",B1,3,ja,
57,ta om,ta,om,"to do again, to retake",B1,3,ja,
58,dra in,dra,in,"to withdraw, to cut; to pull in",A2,3,ja,
59,dö ut,dö,ut,"to die out, to become extinct",B1,3,ja,
60,ställa in,ställa,in,"to cancel; to adjust, to set",A2,3,ja,
61,lämna in,lämna,in,"to hand in, to submit",A2,3,ja,
62,lägga om,lägga,om,"to change, to rearrange; to redress (a wound)",B1,3,ja,
63,äta upp,äta,upp,"to eat up, to finish eating",B1,3,ja,
64,göra upp,göra,upp,"to settle, to make a deal",A2,3,ja,
65,skriva ut,skriva,ut,to print out; to prescribe; to discharge,A2,3,ja,
66,skriva ner,skriva,ner,to write down (also spelt *skriva ned*),A2,3,ja,
67,köra hem,köra,hem,to drive home,B1,3,ja,
68,visa upp,visa,upp,"to show, to present for inspection",B1,3,ja,
69,gå åt,gå,åt,to be used up; to lay into someone,B1,3,ja ⚠,
70,glömma bort,glömma,bort,to forget,B1,3,ja,
71,släppa ut,släppa,ut,"to release, to let out; to emit",B1,3,ja,
72,värma upp,värma,upp,to heat up; to warm up,A2,3,ja,
73,hänga upp,hänga,upp,to hang up,A2,3,ja,
74,gå sönder,gå,sönder,"to break, to stop working",B1,3,ja,
75,komma för,komma,för,to occur to (someone),A1,3,ja ⚠,
76,köra in,köra,in,to drive in; to run in (a machine),A2,3,ja,
77,lära in,lära,in,"to learn, to memorise",B1,3,ja,
78,dra ut,dra,ut,to pull out; to drag on (of time),B1,3,ja,
79,komma upp,komma,upp,to come up; to get up,B2,3,ja,
