verb,particle,svalex_first_level,svalex_total_freq,swellex_first_level
andas,in,a2,6.1225,
andas,ut,a2,4.4303,
arbeta,bort,,,c1
bero,på,b2,0.2925,b2
binda,fast,b2,0.2925,
binda,ihop,a2,0.1387,
binda,upp,c1,0.8196,
bjuda,in,b1,12.0619,
blanda,ihop,b1,5.1668,
blanda,in,b1,5.0622,b1
bli,av,b1,24.2349,c1
bli,kvar,b2,9.2821,
bli,över,a2,2.2054,c1
blåsa,upp,b2,3.1529,
bo,över,b2,0.2832,
bre,ut,b1,0.2515,
brinna,ned,c1,0.8196,
brinna,upp,b1,0.2853,
bryta,ned,b1,0.4361,
bryta,upp,b2,13.3264,b1
bryta,ut,b1,2.6514,
bunta,ihop,c1,0.8196,
burra,upp,b1,0.218,
bygga,om,b2,2.5233,b1
bygga,ut,b2,4.262,
byta,om,a1,1.4039,
byta,ut,b1,2.3202,c1
bädda,in,b1,1.9112,
börja,om,b1,4.7849,
dela,upp,b1,6.7569,b2
dela,ut,a1,69.9682,b1
dra,av,b2,0.7206,
dra,ihop,b2,0.7206,
dra,in,a2,21.9264,
dra,ned,,,c1
dra,ner,b2,0.2832,
dra,upp,b1,2.3252,
dra,ut,b1,13.474,a1
dra,över,c1,0.8196,
dricka,ur,c1,3.2783,
dryga,ut,b2,0.2832,
duka,av,b1,0.2515,
duka,upp,b2,0.7206,c1
dyka,upp,b1,51.3831,b1
dyrka,upp,,,b2
dö,ut,b1,20.1286,c1
falla,ihop,b2,2.1991,
falla,in,b1,2.4297,b2
falla,ned,b2,0.7206,
falla,ner,b2,7.6454,b1
fara,ut,b1,5.0972,
fiska,upp,b2,0.2925,
flamma,upp,c1,0.8196,
flika,in,c1,0.4551,
flytta,bort,b2,4.4251,
flytta,fram,c1,0.8196,
flytta,ut,a2,4.9384,
forsa,fram,b2,0.7206,
frysa,till,c1,0.8196,
fundera,ut,c1,0.8196,
fälla,upp,c1,1.6391,
få,fast,b2,0.7206,
få,ihop,a2,1.4558,c1
föda,upp,b1,8.3122,
följa,upp,b1,0.123,
föra,bort,b2,0.7206,
föra,fram,b2,4.641,
föra,upp,b1,0.2515,
ge,bort,c1,1.6391,
ge,igen,b2,0.7206,
ge,tillbaka,b2,1.4411,b1
ge,upp,a2,47.0338,b1
ge,ut,b1,123.0892,b2
gifta,bort,b2,0.5664,
glömma,bort,b1,15.4279,b1
gripa,in,b2,0.7206,
gräva,ned,b2,0.7206,
gräva,ner,b2,2.595,
gröpa,ur,b1,0.7337,
gå,an,b2,4.262,
gå,bort,b2,2.1617,b2
gå,hem,a1,42.6481,a1
gå,igen,a2,4.1475,
gå,ihop,,,b2
gå,in,a1,102.1547,a2
gå,med,b1,5.0622,
gå,miste,b1,6.5572,c1
gå,ned,b2,3.0056,
gå,ner,a1,47.5028,a2
gå,på,,,a2
gå,samman,b1,0.4361,a2
gå,sönder,b1,14.5681,
gå,till,b1,9.239,a1
gå,upp,a1,54.4313,a2
gå,ut,a1,251.1769,a1
gå,åt,b1,15.4926,a2
gå,över,a2,37.2394,c1
gömma,undan,b2,2.5233,
göra,av,b1,0.3669,
göra,om,a2,52.1952,a2
göra,slut,a2,11.6915,
göra,upp,a2,18.6867,
göra,åt,b2,5.0466,c1
ha,kvar,a2,33.3653,b2
ha,sönder,b2,0.7206,
hetsa,upp,b1,0.2515,
hinna,med,b1,2.704,c1
hitta,på,b2,5.4972,b2
hjälpa,till,a2,43.3225,b1
hjälpas,åt,b2,0.5851,
hoppa,av,c1,0.8196,
hoppa,över,b2,13.0981,
hugga,in,b2,2.5233,
hugga,ner,b2,1.1701,
hyra,ut,a2,4.9524,
häfta,ihop,b2,0.7206,
hägna,in,b2,0.7206,
hälsa,på,a1,1.2268,
hänga,ihop,b2,8.5022,c1
hänga,med,b1,11.3,
hänga,samman,b2,1.4411,c1
hänga,upp,a2,14.7899,
hänga,ut,c1,0.8196,
hålla,fast,b2,1.4411,
hålla,igen,b1,0.123,
hålla,ihop,c1,0.8196,b2
hålla,kvar,b2,3.1529,
hålla,med,a2,7.452,b2
hålla,på,a2,26.0054,b2
hålla,samman,b2,0.7206,
hålla,till,b2,2.345,b2
hålla,tillbaka,b2,2.345,
hålla,undan,b2,4.69,
hålla,upp,b2,4.641,
