cefr levels,grammar,infinitive,imperativ,presens,preteritum,supinum,note
A1,att,vara,var,är,var,varit,
A1,att,ha,ha,har,hade,haft,
A1,att,kunna,,kan,kunde,kunnat,
B2,att,unna,unna,unnar,unnade,unnat,
A1,att,få,,får,fick,fått,
A1,att,bli,bli,blir,blev,blivit,
A1,att,komma,kom,kommer,kom,kommit,
A1,att,vilja,,vill,ville,velat,
A1,att,göra,gör,gör,gjorde,gjort,
A1,att,finna,finn,finner,fann,funnit,
A1,att,ta,,tar,tog,tagit,taga är en ålderdomlig variant av ta (accepteras ej som svar).
A1,att,se,,ser,såg,sett,
A1,att,gå,,går,gick,gått,
A1,att,säga,,säger,sa/sade,sagt,C5: fri variant (sa/sade); redan levererad i verbData.ts.
A1,att,äga,,äger,ägde,ägt,
A1,att,betyda,,betyder,betydde,betytt,
A1,att,ge,,ger,gav,gett,giva är en ålderdomlig variant av ge (accepteras ej som svar).
A1,att,skriva,,skriver,skrev,skrivit,
C1,att,te sig,,ter sig,tedde sig,tett sig,
A1,att,riva,,river,rev,rivit,
A1,att,börja,,börjar,började,börjat,
A1,att,tro,,tror,trodde,trott,
A1,att,tycka,,tycker,tyckte,tyckt,
A1,att,veta,,vet,visste,vetat,
A1,att,försöka,,försöker,försökte,försökt,
A1,att,behöva,,behöver,behövde,behövt,
A1,att,känna,,känner,kände,känt,
A1,att,läsa,,läser,läste,läst,
A1,att,ro,,ror,rodde,rott,
A1,att,låta,,låter,lät,låtit,
A1,att,stå,,står,stod,stått,
A1,att,visa,,visar,visade,visat,
A1,att,använda,,använder,använde,använt,
A1,att,vända,,vänder,vände,vänt,
A1,att,hålla,,håller,höll,hållit,
A1,att,tänka,,tänker,tänkte,tänkt,
A1,att,söka,,söker,sökte,sökt,
A1,att,ligga,,ligger,låg,legat,
A1,att,lägga,,lägger,la/lade,lagt,C4: la/lade synkat med verbData.ts alternates (tidigare osynkat).
A1,att,anse,,anser,ansåg,ansett,
A1,att,öva,,övar,övade,övat,
A1,att,handla,,handlar,handlade,handlat,
A1,att,öka,,ökar,ökade,ökat,
A1,att,skapa,,skapar,skapade,skapat,
B2,att,kapa,,kapar,kapade,kapat,
A1,att,gälla,,gäller,gällde,gällt,
A1,att,verka,,verkar,verkade,verkat,
A1,att,tala,,talar,talade,talat,
A1,att,bära,,bär,bar,burit,
A1,att,höra,,hör,hörde,hört,
A1,att,innebära,,innebär,innebar,inneburit,
A1,att,välja,,väljer,valde,valt,
A1,att,förstå,,förstår,förstod,förstått,
A1,att,spela,,spelar,spelade,spelat,
A1,att,hitta,,hittar,hittade,hittat,
A1,att,dra,,drar,drog,dragit,
A1,att,leda,,leder,ledde,lett,
A1,att,lyckas,,lyckas,lyckades,lyckats,
A1,att,lära,,lär,lärde,lärt,
A1,att,sätta,,sätter,satte,satt,
