line,cefr,infinitive,grupp,status,reasons
2,"A1","vara",,needs-check,""
3,"A1","ha",,needs-check,""
4,"A1","kunna",,needs-check,""
5,"A1","unna",1,pass,""
6,"A1","få",,needs-check,""
7,"A1","bli",,needs-check,""
8,"A1","komma",,needs-check,""
9,"A1","vilja",,needs-check,""
10,"A1","göra",,needs-check,""
11,"A1","finna",,needs-check,""
12,"A1","ta (el. taga)",,fail,"charset: infinitive=""ta (el. taga)"""
13,"A1","se",,fail,"empty imperativ on non-modal verb"
14,"A1","gå",,fail,"empty imperativ on non-modal verb"
15,"A1","säga",,fail,"charset: preteritum=""sa/sade"""
16,"A1","äga",2a,fail,"empty imperativ on non-modal verb"
17,"A1","betyda",,fail,"empty imperativ on non-modal verb"
18,"A1","ge (formellt giva)",,fail,"charset: infinitive=""ge (formellt giva)"""
19,"A1","skriva",,fail,"empty imperativ on non-modal verb"
20,"A1","te sig",3,fail,"empty imperativ on non-modal verb"
21,"A1","riva",,fail,"empty imperativ on non-modal verb"
22,"A1","börja",1,fail,"empty imperativ on non-modal verb"
23,"A1","tro",3,fail,"empty imperativ on non-modal verb"
24,"A1","tycka",2b,fail,"empty imperativ on non-modal verb"
25,"A1","veta",,fail,"empty imperativ on non-modal verb"
26,"A1","försöka",2b,fail,"empty imperativ on non-modal verb"
27,"A1","behöva",2a,fail,"empty imperativ on non-modal verb"
28,"A1","känna",,fail,"empty imperativ on non-modal verb"
29,"A1","läsa",2b,fail,"empty imperativ on non-modal verb"
30,"A1","ro",3,fail,"empty imperativ on non-modal verb"
31,"A1","låta",,fail,"empty imperativ on non-modal verb"
32,"A1","stå",,fail,"empty imperativ on non-modal verb"
33,"A1","visa",1,fail,"empty imperativ on non-modal verb"
34,"A1","använda",,fail,"empty imperativ on non-modal verb"
35,"A1","vända",,fail,"empty imperativ on non-modal verb"
36,"A1","hålla",,fail,"empty imperativ on non-modal verb"
37,"A1","tänka",2b,fail,"empty imperativ on non-modal verb"
38,"A1","söka",2b,fail,"empty imperativ on non-modal verb"
39,"A1","ligga",,fail,"empty imperativ on non-modal verb"
40,"A1","lägga",,fail,"empty imperativ on non-modal verb"
41,"A1","anse",,fail,"empty imperativ on non-modal verb"
42,"A1","öva",1,fail,"empty imperativ on non-modal verb"
43,"A1","handla",1,fail,"empty imperativ on non-modal verb"
44,"A1","öka",1,fail,"empty imperativ on non-modal verb"
45,"A1","skapa",1,fail,"empty imperativ on non-modal verb"
46,"A1","kapa",1,fail,"empty imperativ on non-modal verb"
47,"A1","gälla",2a,fail,"empty imperativ on non-modal verb"
48,"A1","verka",1,fail,"empty imperativ on non-modal verb"
49,"A1","tala",1,fail,"empty imperativ on non-modal verb"
50,"A1","bära",,fail,"empty imperativ on non-modal verb"
51,"A1","höra",,fail,"empty imperativ on non-modal verb"
52,"A1","innebära",,fail,"empty imperativ on non-modal verb"
53,"A1","välja",,fail,"empty imperativ on non-modal verb"
54,"A1","förstå",,fail,"empty imperativ on non-modal verb"
55,"A1","spela",1,fail,"empty imperativ on non-modal verb"
56,"A1","hitta",1,fail,"empty imperativ on non-modal verb"
57,"A1","dra",,fail,"empty imperativ on non-modal verb"
58,"A1","leda",,fail,"empty imperativ on non-modal verb"
59,"A1","lyckas",deponens,fail,"empty imperativ on non-modal verb"
60,"A1","lära",,fail,"empty imperativ on non-modal verb"
61,"A1","sätta",,fail,"empty imperativ on non-modal verb"
62,"A1","lämna",1,fail,"empty imperativ on non-modal verb"
63,"A1","bygga",2a,fail,"empty imperativ on non-modal verb"
64,"A1","kalla",1,fail,"empty imperativ on non-modal verb"
65,"A1","leva",2a,fail,"empty imperativ on non-modal verb"
66,"A1","ställa",2a,fail,"empty imperativ on non-modal verb"
67,"A1","följa",2a,fail,"empty imperativ on non-modal verb"
68,"A1","ske",3,fail,"empty imperativ on non-modal verb"
69,"A1","kräva",2a,fail,"empty imperativ on non-modal verb"
70,"A1","ena",1,fail,"empty imperativ on non-modal verb"
71,"A1","svara",1,fail,"empty imperativ on non-modal verb"
72,"A1","fortsätta",,fail,"empty imperativ on non-modal verb"
